encoding,strategy,precision,recall,f1,auc
mr_tr,Payload+Declare Data Aware,0.7234081372012406,1.0,0.808771827875759,0.8178418803418803
mr_tr,Hybrid+Declare Data Aware,0.4232290708176115,0.8513719512195121,0.49800178676711765,0.5851494201828271
mr_tr,Hybrid+Payload+Declare Data Aware,0.4639404190309908,0.7165656565656566,0.5233348859990581,0.5646403094897071
mra_tra,IA,0.9984939759036144,1.0,0.9992447129909365,0.9991666666666666
mra_tra,Declare,1.0,0.9924242424242424,0.9961538461538462,0.9962121212121212
mra_tra,IA+MR,0.9984939759036144,1.0,0.9992447129909365,0.9991666666666666
mra_tra,IA+TR,0.9984939759036144,1.0,0.9992447129909365,0.9991666666666666
mra_tra,IA+TRA,0.9984939759036144,1.0,0.9992447129909365,0.9991666666666666
mra_tra,IA+MRA,0.9984939759036144,0.9996688741721854,0.9990790403600551,0.9990006339966985
mra_tra,Hybrid,0.3853665182272861,0.452082853761613,0.27007077059572915,0.634684885197303
mra_tra,Payload,0.7845526282475067,0.6097752948259376,0.6593648558977026,0.8911346247694034
mra_tra,Data+IA,0.9970059880239521,1.0,0.9984939759036144,0.9983333333333333
mra_tra,Data+Declare,0.9984756097560976,0.9969696969696971,0.9977203647416413,0.9976515151515152
mra_tra,Data+IA+MR,0.9940476190476191,0.9984848484848485,0.9962462462462462,0.9958030303030303
mra_tra,Data+IA+TR,0.9970059880239521,1.0,0.9984939759036144,0.9983333333333333
mra_tra,Data+IA+TRA,0.9970059880239521,1.0,0.9984939759036144,0.9983333333333333
mra_tra,Data+IA+MRA,0.9955089820359281,0.998153722657034,0.9968222791763475,0.9972430582391227
mra_tra,Data+Hybrid,0.5109708860439981,0.39929336951517513,0.35510319794720535,0.5838303014200943
mra_tra,Declare Data Aware,0.8809523809523809,0.9924242424242424,0.9180288461538462,0.8712121212121212
mra_tra,Payload+Declare Data Aware,0.9984939759036144,0.9924242424242424,0.9953985591447827,0.9953787878787879
mra_tra,Hybrid+Declare Data Aware,0.4529912814102891,0.6328015251856312,0.3614919116896955,0.4930886400461596
mra_tra,Hybrid+Payload+Declare Data Aware,0.5495590490797546,0.2614145816363872,0.2774731133745763,0.5136099352138623
payload,IA,0.32496732026143793,0.13811369509043928,0.17789066279632318,0.6908124319288131
payload,Declare,0.3066031746031746,0.2543927648578811,0.2692790191011805,0.6556934707233607
payload,IA+MR,0.4185897435897436,0.24586563307493536,0.2970760233918128,0.6272411083115291
payload,IA+TR,0.3236874236874237,0.09922480620155036,0.14797880690737833,0.6463324843300852
payload,IA+TRA,0.3484126984126984,0.1547803617571059,0.18966010733452593,0.6948068741918962
payload,IA+MRA,0.36730158730158735,0.23294573643410849,0.2816442816442817,0.6355605334393876
payload,Hybrid,0.11526321328645114,0.3279940160478716,0.14434423359819232,0.5300316130336478
payload,Payload,0.962280701754386,0.9722222222222221,0.9671171171171171,0.9843145682422533
payload,Data+IA,0.9122807017543859,0.8555555555555555,0.8726726726726728,0.9620923460200311
payload,Data+Declare,0.6192640692640692,0.5666666666666667,0.5865900383141762,0.798612481469729
payload,Data+IA+MR,0.9097165991902834,0.8833333333333334,0.8934612031386224,0.9639769476634752
payload,Data+IA+TR,0.947008547008547,0.961111111111111,0.9537777777777776,0.9771512956448973
payload,Data+IA+TRA,0.9777777777777779,0.9555555555555555,0.9660130718954247,0.979134146663118
payload,Data+IA+MRA,0.9777777777777779,0.9555555555555555,0.9660130718954247,0.9792770548446115
payload,Data+Hybrid,0.02528443256814682,0.25,0.04401231748629132,0.5519141145320701
payload,Declare Data Aware,0.7626073871409028,0.9555555555555555,0.8139528024158006,0.9552216548427509
payload,Payload+Declare Data Aware,0.8734999999999999,0.9388888888888889,0.881824935380686,0.9532494029704802
payload,Hybrid+Declare Data Aware,0.26418253907098277,0.3877777777777778,0.11807826887337405,0.512133731700368
payload,Hybrid+Payload+Declare Data Aware,0.04605325736599764,0.4405263157894737,0.08093478991616417,0.5027584737357227
