Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2
dt,sepsis,decl,mr_data,0.9911504424778761,0.9256198347107438,0.9572649572649573,0.994857266592082,0.9354838709677419,0.9508196721311475,0.943089430894309,0.9901675294794363,0.921875,0.9672131147540983,0.944,0.9806765890135174
dt,sepsis,decl,mra,0.9917355371900827,0.9917355371900827,0.9917355371900827,0.997491789671226,0.983739837398374,0.9918032786885246,0.9877551020408164,0.9914797238999138,0.9915966386554622,0.9672131147540983,0.979253112033195,0.9887834339948232
dt,sepsis,decl,mra_data,0.9917355371900827,0.9917355371900827,0.9917355371900827,0.9976361471002201,0.975609756097561,0.9836065573770492,0.9795918367346939,0.9852243313201035,0.9915966386554622,0.9672131147540983,0.979253112033195,0.9890710382513661
dt,sepsis,decl,payload,0.7181208053691275,0.8770491803278688,0.7896678966789666,0.9067263445498994,0.6973684210526315,0.8688524590163934,0.7737226277372262,0.8423928674144378,0.6627906976744186,0.9421487603305785,0.7781569965870306,0.8880869031722546
dt,sepsis,decl,tr,0.8120805369127517,1.0,0.8962962962962964,0.9388646288209608,0.8380281690140845,0.9754098360655737,0.9015151515151515,0.955870721886684,0.8740740740740741,0.9672131147540983,0.9182879377431906,0.948087431693989
dt,sepsis,decl,tr_data,0.8120805369127517,1.0,0.8962962962962964,0.9388646288209608,0.8356164383561644,1.0,0.9104477611940298,0.9473684210526316,0.852112676056338,0.9918032786885246,0.9166666666666665,0.949849007765315
dt,sepsis,decl,tra,0.8120805369127517,1.0,0.8962962962962964,0.9388646288209608,0.8356164383561644,1.0,0.9104477611940298,0.9473684210526315,0.8561151079136691,0.9754098360655737,0.9118773946360154,0.9526171987345413
dt,sepsis,decl,tra_data,0.8163265306122449,0.9917355371900827,0.8955223880597015,0.934461727236638,0.8356164383561644,1.0,0.9104477611940298,0.9473684210526315,0.8581560283687943,0.9918032786885246,0.920152091254753,0.9575783721599079
dt,sepsis,mr_tr,baseline,0.4419889502762431,0.8791208791208791,0.5882352941176471,0.7930332216046502,0.4270833333333333,0.9111111111111111,0.5815602836879432,0.766431623931624,0.4131455399061033,0.9777777777777777,0.5808580858085808,0.7698076923076923
dt,sepsis,mr_tr,bs_data,0.42857142857142855,1.0,0.6,0.7493589743589744,0.4148936170212766,0.8666666666666667,0.5611510791366907,0.7580769230769231,0.43333333333333335,1.0,0.6046511627906976,0.7901692901692903
