Dataset,IA,MR,TR,MRA,TRA,Declare,H,Data,DeclD,Data+IA,Data+MR,Data+MRA,Data+TR,Data+TRA,Data+Declare,Data+DeclD,Data+H,H+DeclD,H+Data+DeclD
bpi11_mr_tr,0.40700797011686285,0.9908902691511386,0.4304526378215927,0.9865424430641822,0.3793797804629447,0.6075788668547291,0.9487142857142856,0.30762271841219213,0.44251189986484113,0.4175180157533099,0.9865424430641822,0.9731225296442687,0.4249700117563894,0.4109263627295663,0.8949334337160423,0.8819133137394006,0.9643794466403162,0.9698612836438925,0.9611844532279316
bpi11_mra_tra,0.9168656232150412,0.9809946986334543,0.9179407626410387,0.9802910312393331,0.909953318631237,0.9976744186046511,0.9984496124031008,0.9483655351753587,0.9900282714984586,0.9506159526441685,0.9794671883454937,0.9810431013591359,0.9353954000189899,0.9467217265548618,0.9961119186046512,0.9976862536244748,0.9961119186046512,0.9968992248062015,0.9984496124031008
bpi11_payload_M13,0.32838654549786594,0.488376577126577,0.5010279608202424,0.39383986125330567,0.40545970734465236,0.5344743715470476,0.8639591174764473,0.6881102415292176,0.686201097760945,0.7064718834880126,0.7227140901894016,0.7211407058425935,0.7333820412148586,0.7291803865997414,0.9044777986241399,0.9019586002512833,0.9163682043558203,0.9127882241583821,0.9085730866218672
bpi11_payload_T101,0.7678453136011275,0.7355890288573217,0.7649256454392886,0.7154395604395605,0.7658328734937695,0.7702583943828001,0.9362327659503527,0.8963853315904962,0.7340660409338203,0.9092026534000441,0.8960693507034971,0.9102881565078496,0.9036618904978304,0.9028100822756672,0.9457717347118273,0.9460438331469675,0.9388378477261062,0.9369534048859063,0.9461035277824843
bpi12_decl2,0.7840023257500781,0.8780306284316781,0.783812327746672,0.9416860102081109,0.7833823325990478,1.0,1.0,0.4378901587068388,1.0,0.783812327746672,0.8837677955902074,0.9396237569513186,0.783812327746672,0.783812327746672,1.0,1.0,1.0,1.0,1.0
bpi12_mr_tr,0.8688948388336672,1.0,1.0,0.9996960486322187,1.0,1.0,1.0,0.6960695269091206,1.0,0.9049147003427779,0.9996960486322187,0.9993920972644375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi12_mra_tra,0.5056843918687732,1.0,1.0,0.9998003992015967,1.0,1.0,1.0,0.4894344701827271,0.999601593625498,0.520605787580857,1.0,0.9998003992015967,0.9998019801980199,1.0,1.0,1.0,1.0,1.0,1.0
bpi12_payload_6500,0.0329840237612091,0.0045454545454546,0.0,0.0,0.0064516129032257995,0.0046511627906977,0.0793194408855418,0.1630924851780825,1.0,0.14565353290074967,0.10571159857978349,0.150097602018715,0.14999880980298091,0.1472764978884652,0.663526418506749,1.0,0.6806245735359386,1.0,1.0
bpi12_payload_45000,0.0444879616700885,0.0222222222222222,0.0026666666666667,0.0052631578947368,0.0125,0.0,0.09269905749610122,0.11209882387867329,1.0,0.1090465528343549,0.07833583623497128,0.13131666587335808,0.1082283575747188,0.10186168534253279,0.5897372214135205,1.0,0.5927346445824708,1.0,1.0
bpi15A_decl2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7058615577017207,0.9962340776771983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15A_mr_tr,0.9907563008599022,0.9926429345326712,0.9936113427856545,0.9954123763572447,0.9898393549949753,1.0,1.0,0.8284002007889356,0.9934922404184171,0.9898558767820536,0.993594194539063,0.994512093411176,0.9917074020862326,0.9916908802991544,1.0,1.0,1.0,1.0,1.0
bpi15A_mra_tra,0.9994011976047904,0.9987951807228915,0.9987951807228915,0.9987951807228915,0.9987951807228915,0.9994011976047904,1.0,0.9342826698230617,0.992849675284065,0.9987951807228915,0.9987951807228915,0.9987951807228915,0.9987951807228915,0.9987951807228915,1.0,1.0,1.0,1.0,1.0
bpi15A_payload_560925,0.38954455980784247,0.391076602479127,0.392998142446681,0.40005222785253747,0.3606445231953647,0.41401944737185004,0.854213173098622,0.9941125541125542,1.0,0.9915830115830115,0.9942857142857143,0.9942857142857143,0.9942857142857143,0.9942857142857143,0.9942857142857143,1.0,0.9942857142857143,1.0,1.0
