Dataset,IA,MR,TR,MRA,TRA,Declare,H,Data,DeclD,Data+IA,Data+MR,Data+MRA,Data+TR,Data+TRA,Data+Declare,Data+DeclD,Data+H,H+DeclD,H+Data+DeclD
bpi15A_mr_tr,0.9953604462897356,0.9953958545701663,0.9953958545701663,0.9953958545701663,0.9953958545701663,1.0,1.0,0.828296952527961,0.9962788304895824,0.9962959787361741,0.9935095474450699,0.9953958545701663,0.9944614339109752,0.9962961375162352,1.0,1.0,1.0,1.0,1.0
bpi15A_mra_tra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9492988718611814,0.9915860824903863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15A_payload_560925,0.41033622259432984,0.4265470222005726,0.43024361226841645,0.466211702357195,0.4379353281219779,0.4626179258437322,0.8824442558909824,0.9912605042016807,1.0,0.9887301587301588,0.974920634920635,0.9806220506220507,0.9804761904761905,0.9804761904761905,0.9832895506579717,1.0,0.9835631035631035,1.0,1.0
bpi15B_decl2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9359485616120045,0.9991452991452991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15B_mr_tr,0.9988235294117647,1.0,0.9987951807228915,1.0,0.9987951807228915,1.0,1.0,0.8768659127994702,0.9952374202693125,1.0,1.0,1.0,0.9987951807228915,1.0,1.0,1.0,1.0,1.0,1.0
bpi15B_mra_tra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.937205499453665,0.9797210973149337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15B_payload_560925,0.5115385053542948,0.530579389650597,0.5256041262658909,0.5409723325320634,0.5512057360729087,0.5855739594083247,0.9197703745529833,0.9447736989532656,0.9777089783281735,0.9453018575851393,0.94015479876161,0.9236537635649226,0.9410913312693499,0.9410913312693499,0.9377648332060098,0.9677183153963339,0.9443824802648331,0.9788294265074452,0.9736006683375106
bpi15C_decl2,1.0,1.0,1.0,1.0,1.0,0.9994652406417112,1.0,0.867781542856919,0.9994652406417112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994652406417112,1.0,0.9994652406417112
bpi15C_mr_tr,0.999290780141844,1.0,1.0,1.0,1.0,1.0,1.0,0.842910239726022,0.9950653581759366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15C_mra_tra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9250666969777537,0.985575277422447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15C_payload_560925,0.5095591324521613,0.4318613258893917,0.4589436364780458,0.3844465790192927,0.5052728928421655,0.49042086800011064,0.8706795997744272,0.8798788822684654,0.9615581232492996,0.8494466675334305,0.8527021530912504,0.8299600045802527,0.8553942652329749,0.8308837174491822,0.9506661983733731,0.9870698082044023,0.9506661983733731,0.9888888888888889,0.9778164711632453
bpi15D_decl2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8441654058842797,0.9986110441282854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993197278911564,1.0,1.0
bpi15D_mr_tr,1.0,0.998989898989899,0.997979797979798,0.998989898989899,0.998989898989899,1.0,1.0,0.8298973889569895,0.9979997999799979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15D_mra_tra,1.0,1.0,1.0,1.0,1.0,1.0,0.9956521739130434,0.4112436713686186,0.9757142857142858,1.0,1.0,1.0,1.0,1.0,0.9956521739130434,1.0,1.0,1.0,1.0
bpi15D_payload_560925,0.3869798022688362,0.6889982621399171,0.43827596631815985,0.6907225821293143,0.39691060263619415,0.7293321602145131,0.9089043185010925,0.9928480204342274,1.0,0.9928480204342274,0.9928480204342274,0.9928480204342274,0.9928480204342274,0.9928480204342274,0.9891443167305237,0.9925925925925926,0.9891443167305237,1.0,0.9965517241379309
bpi15E_decl2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8871895987100522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993630573248409,1.0,0.9993548387096775
bpi15E_mr_tr,0.9990476190476191,0.9981130396083667,0.9990476190476191,0.9981481481481481,0.9971608265947889,1.0,1.0,0.8621202991580551,0.9839787372995124,0.9971428571428571,0.9961904761904762,0.9971786281079176,0.9980952380952381,0.9972135687088958,1.0,1.0,1.0,1.0,1.0
bpi15E_mra_tra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9652779049120245,0.9884517005121236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi15E_payload_560925,0.3315823673410613,0.5384835268503999,0.3264258402416297,0.5799605073289285,0.3127407485176631,0.6163938007073019,0.898324820107429,0.9571989459815547,0.9789710144927536,0.9567891963109354,0.9494592074592074,0.9498544643762035,0.9567891963109354,0.9528036890645586,0.9709565217391305,0.9789565217391305,0.9829565217391305,0.9789565217391305,0.9749565217391305
